timeframe,session,orb_minutes,risk_reward,trades_include,net_profit_include,profit_factor_include,win_rate_include,max_dd_pct_include,max_consec_losses_include,avg_r_include,trades_skip,net_profit_skip,profit_factor_skip,win_rate_skip,max_dd_pct_skip,max_consec_losses_skip,avg_r_skip,delta_trades,delta_net_profit,delta_profit_factor,delta_win_rate,delta_max_dd_pct,delta_max_consec_losses,delta_avg_r
M1,LONDON,30,1.0,708,-25020.000000000917,0.9165499299579715,47.740112994350284,37.69369711949901,7,-0.041030496133814036,500,-35700.00000000074,0.8378525684698162,46.800000000000004,44.1330235259954,10,-0.06082899174636961,-208,-10679.999999999825,-0.07869736148815532,-0.9401129943502795,6.4393264064963915,3,-0.019798495612555575
M1,LONDON,30,1.5,650,-36307.00000000048,0.8885621767621729,37.69230769230769,48.98962735305502,11,-0.06020714861285348,460,-46397.0,0.8041163556531289,36.73913043478261,55.494328968504625,13,-0.07846129930476738,-190,-10089.99999999952,-0.08444582110904397,-0.9531772575250841,6.504701615449605,2,-0.018254150691913898
M1,LONDON,30,2.0,610,-38154.99999999981,0.8862182593525881,31.311475409836063,55.91126217159662,12,-0.09000884959115438,428,-63244.999999999505,0.741186340105991,29.205607476635514,72.74174869716225,15,-0.1503898270845655,-182,-25089.999999999694,-0.14503191924659709,-2.1058679332005497,16.830486525565632,3,-0.06038097749341112
M1,LONDON,30,2.5,589,-34794.00000000026,0.8978869519281554,27.504244482173174,57.49400479616351,16,-0.09440643164787003,417,-57193.99999999979,0.768726243429034,26.378896882494008,67.85593294164319,16,-0.13584223890299804,-172,-22399.999999999527,-0.12916070849912142,-1.1253475996791664,10.36192814547968,0,-0.04143580725512801
M1,LONDON,30,3.0,576,-44045.00000000015,0.8714052144462935,25.34722222222222,65.72016653412597,20,-0.09155188204147546,406,-63044.99999999985,0.7459092374657433,23.891625615763548,74.43616253907183,20,-0.1474575329224384,-170,-18999.999999999694,-0.12549597698055015,-1.4555966064586734,8.715996004945865,0,-0.05590565088096294
M1,LONDON,30,3.5,573,-39112.99999999988,0.8868274475195678,24.083769633507853,62.33635812577497,20,-0.0861195502676065,404,-58803.99999999971,0.7639483772554853,23.01980198019802,69.70611658981186,20,-0.13207459936145485,-169,-19690.999999999825,-0.12287907026408251,-1.063967653309831,7.3697584640368845,0,-0.04595504909384836
M1,LONDON,30,4.0,569,-31779.999999999854,0.9080971659919032,23.374340949033392,60.20353025936666,20,-0.06718831895132694,401,-48544.99999999959,0.8052318000361105,22.194513715710723,61.87964048456441,20,-0.11235807396493254,-168,-16764.999999999738,-0.10286536595579265,-1.1798272333226691,1.6761102251977533,0,-0.045169755013605595
M1,LONDON,30,4.5,565,-33833.999999999796,0.902287298561775,22.477876106194692,64.18871369610343,20,-0.062264401241356265,398,-50833.99999999945,0.7961135064674639,21.35678391959799,67.08281720912535,20,-0.10357196957682067,-167,-16999.99999999965,-0.1061737920943111,-1.1210921865967016,2.8941035130219177,0,-0.04130756833546441
M1,LONDON,30,5.0,562,-36144.99999999994,0.89593919590033,21.530249110320284,61.14614888017105,20,-0.0929693513127845,396,-50949.99999999959,0.7964727265464295,20.2020202020202,66.92655311118834,20,-0.12825206389452729,-166,-14804.99999999965,-0.09946646935390047,-1.3282289083000833,5.780404231017293,0,-0.03528271258174279
M1,LONDON,60,1.0,494,-32955.00000000013,0.881441908153903,46.963562753036435,50.80242950965389,8,-0.05814791444863024,340,-35769.99999999979,0.8148406967414661,46.470588235294116,50.11469033609216,9,-0.0694436340828384,-154,-2814.999999999658,-0.06660121141243691,-0.4929745177423186,-0.6877391735617309,1,-0.011295719634208168
M1,LONDON,60,1.5,450,-63237.99999999945,0.792764214320827,36.44444444444444,81.55614465458582,10,-0.10724952981335956,312,-42787.9999999992,0.7919731628461032,36.53846153846153,56.567999999999685,9,-0.1052182127119469,-138,20450.000000000247,-0.0007910514747238029,0.09401709401709013,-24.988144654586137,-1,0.0020313171014126608
M1,LONDON,60,2.0,427,-61374.99999999965,0.8016097490019889,31.85011709601874,78.07206036679818,12,-0.12371473349366915,292,-46089.999999999534,0.778114769882536,31.506849315068493,56.6499999999998,12,-0.13953448898207682,-135,15285.000000000116,-0.023494979119452863,-0.3432677809502458,-21.422060366798384,0,-0.015819755488407666
M1,LONDON,60,2.5,421,-44186.99999999987,0.8588815789473686,29.69121140142518,62.84480025364629,12,-0.10634083307236965,288,-38150.999999999694,0.8192238438210772,29.166666666666668,50.28199999999988,12,-0.1341752549016739,-133,6036.000000000175,-0.03965773512629145,-0.5245447347585106,-12.562800253646408,0,-0.02783442182930425
M1,LONDON,60,3.0,414,-41579.99999999969,0.8671565495207675,28.502415458937197,66.30157170923368,12,-0.08872566030483967,282,-34014.99999999959,0.8387303242935727,27.659574468085108,47.479999999999826,12,-0.1345310754251739,-132,7565.000000000095,-0.028426225227194735,-0.8428409908520891,-18.821571709233858,0,-0.04580541512033423
M1,LONDON,60,3.5,410,-50279.99999999971,0.8395609304700217,27.80487804878049,73.71599999999987,12,-0.11440257490783842,280,-32718.999999999534,0.8448233341237866,27.142857142857142,46.45200000000019,12,-0.13608605078394334,-130,17561.000000000175,0.005262403653764958,-0.6620209059233488,-27.263999999999676,0,-0.02168347587610492
M1,LONDON,60,4.0,409,-51564.999999999636,0.8356677342766552,27.383863080684595,75.01999999999991,12,-0.11234521820690482,279,-36424.999999999374,0.8275698833108502,26.523297491039425,49.6749999999996,16,-0.13966889917292696,-130,15140.000000000262,-0.008097850965804954,-0.8605655896451694,-25.34500000000031,4,-0.02732368096602214
M1,LONDON,60,4.5,408,-46623.999999999665,0.8513668170298235,27.205882352941174,70.27199999999968,12,-0.10191405994983954,278,-33855.99999999943,0.839655213242087,26.258992805755394,48.17500000000028,16,-0.1336295193734061,-130,12768.000000000233,-0.011711603787736502,-0.9468895471857799,-22.096999999999397,4,-0.03171545942356657
M1,LONDON,60,5.0,408,-42854.99999999975,0.8638962111347546,26.96078431372549,68.49999999999979,12,-0.08959830754329529,278,-24629.99999999949,0.8833503042932607,26.258992805755394,48.17500000000028,16,-0.09939348265658794,-130,18225.000000000262,0.019454093158506103,-0.7017915079700963,-20.324999999999505,4,-0.009795175113292656
M1,NEW_YORK,15,1.0,520,25364.999999999287,1.0891814921594813,53.07692307692308,17.598358335692268,7,0.05001621797898484,335,11109.99999999968,1.060437916496667,54.328358208955216,14.287533967391694,7,0.06522749660382669,-185,-14254.999999999607,-0.02874357566281427,1.2514351320321353,-3.3108243683005742,0,0.015211278624841854
M1,NEW_YORK,15,1.5,478,39373.000000000204,1.129429167830904,45.39748953974895,16.37105118996903,11,0.06881061924251794,307,22524.000000000233,1.1155343540817124,46.579804560260584,14.44724133124509,11,0.0872682323859523,-171,-16848.99999999997,-0.013894813749191659,1.1823150205116306,-1.9238098587239403,0,0.01845761314343436
M1,NEW_YORK,15,2.0,448,22854.999999999724,1.0727159924277365,39.0625,21.74649171360678,11,0.039790630139472725,287,-3149.9999999997526,0.9845383595935808,39.37282229965157,24.741266421661948,11,0.03266931836675516,-161,-26004.999999999476,-0.0881776328341557,0.3103222996515669,2.994774708055168,0,-0.007121311772717569
M1,NEW_YORK,15,2.5,428,-7654.99999999984,0.9760990383414523,35.280373831775705,36.46757764329349,11,0.016936545646979922,277,-12652.999999999418,0.9388093626076052,36.462093862815884,30.721674201945426,11,0.03014983051215852,-151,-4997.999999999578,-0.037289675733847116,1.1817200310401788,-5.745903441348062,0,0.013213284865178598
M1,NEW_YORK,15,3.0,423,1124.9999999996653,1.0034754402224277,33.09692671394799,31.31016712593499,12,0.03552014563376168,274,-2489.9999999996653,0.9881261772489943,33.941605839416056,27.82088587132262,11,0.04465557906559,-149,-3614.9999999993306,-0.01534926297343342,0.844679125468069,-3.4892812546123686,-1,0.009135433431828321
M1,NEW_YORK,15,3.5,418,14492.999999999927,1.0446721943100212,32.29665071770335,32.10231583510983,12,0.06703403685146733,270,1043.0000000004657,1.004956635380779,32.96296296296296,33.06143128562395,11,0.06586163744013537,-148,-13449.999999999462,-0.03971555892924217,0.6663122452596113,0.9591154505141191,-1,-0.0011723994113319591
M1,NEW_YORK,15,4.0,417,34990.00000000009,1.1078340729783038,31.894484412470025,32.97668420869218,12,0.11298194921801828,269,14075.000000000407,1.0670637284097695,32.71375464684015,35.11546184738968,11,0.12019192445274386,-148,-20914.99999999968,-0.040770344568534345,0.8192702343701264,2.138777638697505,-1,0.00720997523472558
M1,NEW_YORK,15,4.5,416,52734.00000000035,1.1624934520691468,31.73076923076923,31.016808672877538,12,0.15235957295913385,268,25278.00000000064,1.1204144337263333,32.46268656716418,33.718214736157,11,0.15763475499617058,-148,-27455.99999999971,-0.04207901834281347,0.7319173363949467,2.701406063279464,-1,0.005275182037036724
M1,NEW_YORK,15,5.0,412,41200.000000000175,1.126080636523603,30.097087378640776,30.957955165004453,12,0.08451936683430987,266,28585.000000000466,1.1354931980850376,31.203007518796994,32.394868139700755,11,0.12955493441851368,-146,-12614.999999999709,0.009412561561434662,1.1059201401562184,1.4369129746963019,-1,0.04503556758420381
M1,NEW_YORK,30,1.0,401,-11419.999999999622,0.9615462320695005,51.87032418952619,42.23714265937522,6,0.02103268286667764,263,-20614.99999999971,0.8948348424945808,52.47148288973384,39.52857984678804,6,0.029019256447628317,-138,-9195.000000000087,-0.06671138957491973,0.6011587002076553,-2.708562812587182,0,0.007986573580950677
M1,NEW_YORK,30,1.5,367,-23255.999999999724,0.9254388355428746,44.4141689373297,49.84540276647652,8,0.018147836830502685,238,-35760.99999999955,0.8267771077042328,43.69747899159664,48.929927225104365,8,-0.002609788523474188,-129,-12504.999999999825,-0.0986617278386418,-0.7166899457330587,-0.9154755413721531,0,-0.020757625353976874
M1,NEW_YORK,30,2.0,347,-45589.999999999534,0.8585259891388688,38.90489913544668,58.69812393405305,10,-0.024448437993422358,227,-39554.99999999949,0.8138719619791562,39.20704845814978,52.89342214820935,9,-0.026797863137824562,-120,6035.000000000044,-0.04465402715971256,0.30214932270309447,-5.804701785843697,-1,-0.002349425144402204
M1,NEW_YORK,30,2.5,341,-34832.99999999944,0.8925305442428746,37.5366568914956,56.72830222064894,10,0.015968827119386974,224,-27098.99999999917,0.8724842952262227,38.392857142857146,45.82865488351574,9,0.024740008334034398,-117,7734.000000000269,-0.020046249016651863,0.8562002513615425,-10.899647337133203,-1,0.008771181214647424
M1,NEW_YORK,30,3.0,339,-12859.999999999243,0.9605950575293799,36.283185840707965,48.92743194623527,10,0.04370354197498083,223,-11179.999999999141,0.9477374719521352,37.219730941704036,40.34458272601547,9,0.05762180341259309,-116,1680.0000000001019,-0.012857585577244701,0.9365451009960708,-8.5828492202198,-1,0.01391826143761226
