trade_month,strategy,net_profit,trades,configs,picks
2023-12,REVERSE_WORST,14350.0,152,5,M5_LONDON_ORB60_INCLUDE_NEWS_RR1p5|RRR;M5_LONDON_ORB60_SKIP_NEWS_RR1p5|RRR;M5_LONDON_ORB60_INCLUDE_NEWS_RR1|RRR;M5_LONDON_ORB60_SKIP_NEWS_RR1|RRR;M5_LONDON_ORB60_INCLUDE_NEWS_RR2|R
2023-12,KEEP_WORST,-12193.0,196,5,M5_LONDON_ORB60_INCLUDE_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB60_SKIP_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB60_INCLUDE_NEWS_RR1|ORIGINAL;M5_LONDON_ORB60_SKIP_NEWS_RR1|ORIGINAL;M5_LONDON_ORB60_INCLUDE_NEWS_RR2|ORIGINAL
2023-12,FOLLOW_BEST,-13797.0,308,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR4|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR4|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR3p5|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL
2023-12,ALL_ORIGINAL,-151526.0,7742,162,
2023-12,ALL_R,126614.0,3168,162,
2023-12,ALL_RR,62152.0,4606,162,
2023-12,ALL_RRR,38466.0,5272,162,
2024-01,REVERSE_WORST,-8988.0,182,5,M5_LONDON_ORB60_INCLUDE_NEWS_RR1p5|RRR;M5_LONDON_ORB60_SKIP_NEWS_RR1p5|RRR;M5_LONDON_ORB60_INCLUDE_NEWS_RR2|R;M5_LONDON_ORB60_SKIP_NEWS_RR2|R;M5_LONDON_ORB60_INCLUDE_NEWS_RR1|RRR
2024-01,KEEP_WORST,4494.0,260,5,M5_LONDON_ORB60_INCLUDE_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB60_SKIP_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB60_INCLUDE_NEWS_RR2|ORIGINAL;M5_LONDON_ORB60_SKIP_NEWS_RR2|ORIGINAL;M5_LONDON_ORB60_INCLUDE_NEWS_RR1|ORIGINAL
2024-01,FOLLOW_BEST,-4787.0,379,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR2|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR2|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR2|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR2|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5|ORIGINAL
2024-01,ALL_ORIGINAL,-177480.0,10384,162,
2024-01,ALL_R,-131300.0,3564,162,
