config,variant,trades,net,win_rate,pf,expectancy,avg_r,max_dd,max_dd_pct,recovery,months_up,months
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,RR,149.0,17134.0,34.2,1.17,115.0,0.257,-19700.0,-17.13,0.87,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR4p5,RRR,155.0,20459.0,34.8,1.197,132.0,0.267,-17635.0,-15.4,1.16,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR5,ORIGINAL,269.0,-59800.0,19.0,0.695,-222.3,-0.256,-64710.0,-65.18,-0.92,3.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR5,R,107.0,2005.0,29.0,1.024,18.7,0.205,-20080.0,-18.37,0.1,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR5,RR,148.0,16005.0,32.4,1.157,108.1,0.211,-19700.0,-16.77,0.81,6.0,8.0
M15_LONDON_ORB15_SKIP_NEWS_RR5,RRR,154.0,19330.0,33.1,1.185,125.5,0.223,-17635.0,-15.07,1.1,7.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1,ORIGINAL,338.0,3370.0,47.6,1.018,10.0,-0.038,-31405.0,-28.33,0.11,5.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1,R,156.0,-26320.0,50.0,0.76,-168.7,-0.007,-39475.0,-35.48,-0.67,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1,RR,266.0,-12165.0,51.5,0.925,-45.7,0.024,-31715.0,-27.57,-0.38,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1,RRR,320.0,-8840.0,51.9,0.952,-27.6,0.028,-35230.0,-29.84,-0.25,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1p5,ORIGINAL,332.0,-2846.0,38.3,0.987,-8.6,-0.065,-39933.0,-32.15,-0.07,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1p5,R,156.0,-18233.0,41.0,0.85,-116.9,0.008,-38498.0,-34.13,-0.47,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1p5,RR,252.0,-12202.0,42.1,0.93,-48.4,0.011,-33936.0,-28.46,-0.36,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR1p5,RRR,283.0,-2365.0,43.8,0.987,-8.4,0.041,-30786.0,-25.38,-0.08,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR2,ORIGINAL,326.0,-12970.0,33.1,0.943,-39.8,-0.082,-46055.0,-38.34,-0.28,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR2,R,156.0,-22175.0,34.6,0.83,-142.1,-0.026,-35020.0,-33.91,-0.63,3.0,8.0
