,net_profit,net_profit,net_profit,net_profit,trades,trades,trades,trades,win_rate,win_rate,win_rate,win_rate,profit_factor,profit_factor,profit_factor,profit_factor,max_dd_pct,max_dd_pct,max_dd_pct,max_dd_pct
variant,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR
config,,,,,,,,,,,,,,,,,,,,
M15_LONDON_ORB30_SKIP_NEWS_RR5,-27340.0,-13680.0,-14970.0,-9930.0,229.0,106.0,141.0,146.0,24.02,26.42,29.08,29.45,0.847,0.854,0.87,0.915,42.43,25.27,29.27,25.5
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,1905.0,-18380.0,-3405.0,-4605.0,294.0,156.0,252.0,285.0,46.26,53.85,54.37,54.04,1.01,0.856,0.981,0.977,27.12,33.17,23.79,25.51
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,-28931.0,-3046.0,7054.0,11057.0,284.0,156.0,233.0,254.0,36.62,47.44,47.64,48.43,0.873,0.978,1.039,1.057,46.96,25.04,20.09,18.79
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,-33235.0,-19755.0,-14000.0,-5520.0,282.0,156.0,211.0,220.0,33.33,39.1,40.28,41.36,0.857,0.865,0.923,0.97,48.49,33.16,26.51,22.86
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,-28993.0,-36547.0,-26687.0,-24017.0,281.0,156.0,197.0,202.0,32.03,34.62,37.06,37.62,0.876,0.764,0.852,0.868,45.47,44.02,35.61,33.19
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,-24515.0,-28215.0,-25260.0,-25785.0,279.0,156.0,194.0,195.0,31.54,33.97,35.05,34.87,0.895,0.819,0.862,0.859,44.56,37.83,35.78,36.25
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,-24587.0,-31454.0,-27713.0,-28238.0,279.0,156.0,191.0,192.0,30.82,32.69,34.03,33.85,0.896,0.8,0.847,0.845,43.89,39.5,37.28,37.75
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,-15470.0,-32580.0,-28330.0,-28855.0,279.0,156.0,190.0,191.0,30.82,32.69,33.68,33.51,0.934,0.793,0.844,0.841,42.38,37.69,34.85,35.34
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,-10556.0,-31513.0,-27572.0,-28097.0,279.0,156.0,190.0,191.0,30.82,32.05,33.16,32.98,0.955,0.8,0.848,0.846,40.82,39.17,33.72,34.22
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,-15310.0,-28595.0,-26090.0,-26615.0,279.0,156.0,190.0,191.0,30.47,32.05,33.16,32.98,0.935,0.819,0.856,0.854,46.37,39.74,32.33,32.82
M15_LONDON_ORB60_SKIP_NEWS_RR1,-8160.0,-2975.0,7890.0,4115.0,197.0,105.0,166.0,189.0,44.16,56.19,57.23,56.08,0.938,0.963,1.073,1.034,19.01,14.17,14.07,14.46
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,-23927.0,12836.0,20281.0,22904.0,190.0,105.0,153.0,170.0,34.21,50.48,51.63,51.76,0.838,1.152,1.182,1.193,34.34,9.3,10.78,10.13
M15_LONDON_ORB60_SKIP_NEWS_RR2,-22400.0,5225.0,10545.0,19025.0,189.0,105.0,138.0,147.0,30.69,41.9,43.48,44.9,0.854,1.057,1.095,1.168,33.86,12.15,11.51,10.11
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,-14817.0,-10140.0,-3673.0,-1003.0,189.0,105.0,129.0,134.0,30.16,37.14,39.53,40.3,0.904,0.897,0.968,0.991,29.79,19.91,16.43,15.84
M15_LONDON_ORB60_SKIP_NEWS_RR3,-14765.0,-5810.0,-5225.0,-5750.0,187.0,105.0,127.0,128.0,29.41,36.19,37.01,36.72,0.904,0.942,0.955,0.95,29.79,18.79,22.0,22.44
M15_LONDON_ORB60_SKIP_NEWS_RR3p5,-11184.0,-10457.0,-9369.0,-9894.0,187.0,105.0,124.0,125.0,28.88,34.29,35.48,35.2,0.927,0.897,0.918,0.913,29.79,22.07,24.81,25.25
M15_LONDON_ORB60_SKIP_NEWS_RR4,-2760.0,-13020.0,-11705.0,-12230.0,187.0,105.0,123.0,124.0,28.88,34.29,34.96,34.68,0.982,0.871,0.897,0.893,29.79,23.46,26.33,26.67
M15_LONDON_ORB60_SKIP_NEWS_RR4p5,-706.0,-13406.0,-12683.0,-13208.0,187.0,105.0,123.0,124.0,28.88,33.33,34.15,33.87,0.995,0.868,0.889,0.885,29.79,24.68,27.91,28.06
M15_LONDON_ORB60_SKIP_NEWS_RR5,-1210.0,-11810.0,-12805.0,-13330.0,187.0,105.0,123.0,124.0,28.88,33.33,34.15,33.87,0.992,0.884,0.888,0.884,29.79,23.24,26.7,26.7
M1_LONDON_ORB15_INCLUDE_NEWS_RR1,-29660.0,11035.0,12485.0,7110.0,894.0,159.0,306.0,438.0,48.88,52.2,52.61,51.37,0.903,1.212,1.123,1.047,39.53,6.44,8.54,12.1
M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5,-19943.0,10692.0,13927.0,15421.0,833.0,159.0,302.0,426.0,39.74,42.14,42.72,42.72,0.94,1.165,1.114,1.09,34.33,13.6,15.45,17.62
M1_LONDON_ORB15_INCLUDE_NEWS_RR2,-27695.0,8755.0,1910.0,585.0,796.0,159.0,296.0,411.0,33.17,33.33,33.78,34.31,0.921,1.119,1.014,1.003,42.57,12.96,21.43,21.34
M1_LONDON_ORB15_INCLUDE_NEWS_RR2p5,-36280.0,14081.0,-686.0,-4820.0,771.0,159.0,290.0,392.0,28.15,29.56,29.31,29.34,0.899,1.18,0.995,0.975,51.16,15.16,20.65,25.34
M1_LONDON_ORB15_INCLUDE_NEWS_RR3,-39855.0,4935.0,-3735.0,-14190.0,754.0,159.0,286.0,377.0,24.93,23.9,25.87,25.46,0.891,1.059,0.975,0.926,58.81,21.5,25.11,36.32
M1_LONDON_ORB15_INCLUDE_NEWS_RR3p5,-35713.0,12473.0,9316.0,-4936.0,741.0,159.0,285.0,373.0,22.81,22.64,24.21,23.32,0.903,1.146,1.064,0.974,60.07,20.68,22.88,31.31
M1_LONDON_ORB15_INCLUDE_NEWS_RR4,-34060.0,3910.0,1540.0,-15270.0,735.0,159.0,282.0,363.0,20.95,18.24,21.63,20.94,0.908,1.044,1.01,0.919,58.03,22.79,34.25,47.48
M1_LONDON_ORB15_INCLUDE_NEWS_RR4p5,-22104.0,15127.0,19238.0,6291.0,732.0,159.0,281.0,358.0,20.08,18.24,22.06,21.23,0.941,1.169,1.131,1.034,55.33,22.21,31.74,41.94
M1_LONDON_ORB15_INCLUDE_NEWS_RR5,-22665.0,10125.0,11665.0,1230.0,728.0,159.0,277.0,353.0,18.96,16.35,20.22,19.83,0.94,1.111,1.079,1.007,54.56,21.84,28.96,38.5
M1_LONDON_ORB15_SKIP_NEWS_RR1,-21935.0,10650.0,12190.0,7600.0,627.0,107.0,205.0,294.0,49.76,53.27,52.68,51.02,0.898,1.325,1.187,1.077,31.4,5.22,6.5,11.96
M1_LONDON_ORB15_SKIP_NEWS_RR1p5,-22353.0,21895.0,23814.0,19747.0,581.0,107.0,202.0,286.0,39.41,45.79,43.56,43.01,0.905,1.593,1.321,1.177,31.95,5.09,5.49,9.71
M1_LONDON_ORB15_SKIP_NEWS_RR2,-40215.0,22380.0,22525.0,17060.0,553.0,107.0,197.0,275.0,32.37,36.45,36.55,35.64,0.836,1.52,1.27,1.139,49.63,5.4,7.38,9.71
M1_LONDON_ORB15_SKIP_NEWS_RR2p5,-50196.0,28024.0,23078.0,22623.0,536.0,107.0,195.0,265.0,27.05,32.71,31.79,31.7,0.802,1.608,1.257,1.181,60.01,5.88,7.24,10.46
M1_LONDON_ORB15_SKIP_NEWS_RR3,-54685.0,19695.0,18350.0,14725.0,523.0,107.0,191.0,252.0,24.09,26.17,27.75,27.38,0.787,1.385,1.199,1.123,66.33,9.78,10.35,15.0
M1_LONDON_ORB15_SKIP_NEWS_RR3p5,-52124.0,24184.0,27583.0,21496.0,515.0,107.0,190.0,249.0,22.33,24.3,25.79,24.9,0.798,1.463,1.31,1.184,62.92,9.71,10.06,14.05
M1_LONDON_ORB15_SKIP_NEWS_RR4,-54950.0,18190.0,21145.0,13430.0,510.0,107.0,188.0,242.0,20.39,19.63,23.4,22.73,0.79,1.328,1.235,1.116,64.15,10.63,16.21,24.28
M1_LONDON_ORB15_SKIP_NEWS_RR4p5,-49372.0,26910.0,36037.0,29670.0,508.0,107.0,187.0,238.0,19.49,19.63,24.06,23.11,0.812,1.485,1.406,1.261,60.0,10.37,15.29,22.16
M1_LONDON_ORB15_SKIP_NEWS_RR5,-55045.0,22945.0,29370.0,25060.0,504.0,107.0,183.0,233.0,18.06,17.76,21.86,21.46,0.791,1.405,1.328,1.22,64.84,10.47,14.52,19.54
