config,variant,trades,win_rate,net_profit,profit_factor,max_dd_money,max_dd_pct,expectancy,avg_r
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,RRR,217,27.65,-29550.0,0.837,42315.0,41.25,-136.18,-0.041
M15_LONDON_ORB30_SKIP_NEWS_RR1,ORIGINAL,241,44.81,-19600.0,0.862,39975.0,39.28,-81.33,-0.097
M15_LONDON_ORB30_SKIP_NEWS_RR1,R,106,53.77,-6530.0,0.905,23000.0,20.4,-61.6,0.07
M15_LONDON_ORB30_SKIP_NEWS_RR1,RR,183,55.19,11565.0,1.117,19085.0,15.93,63.2,0.1
M15_LONDON_ORB30_SKIP_NEWS_RR1,RRR,225,54.67,13815.0,1.118,19960.0,16.61,61.4,0.083
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,ORIGINAL,236,35.17,-36303.0,0.774,49552.0,49.03,-153.83,-0.148
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,R,106,47.17,6656.0,1.089,18353.0,15.66,62.79,0.162
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,RR,172,47.09,18631.0,1.176,18264.0,14.33,108.32,0.14
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,RRR,199,48.24,27180.0,1.237,17884.0,13.69,136.58,0.149
M15_LONDON_ORB30_SKIP_NEWS_RR2,ORIGINAL,231,29.44,-44335.0,0.739,53595.0,53.59,-191.93,-0.198
M15_LONDON_ORB30_SKIP_NEWS_RR2,R,106,39.62,5550.0,1.068,17940.0,16.24,52.36,0.126
M15_LONDON_ORB30_SKIP_NEWS_RR2,RR,159,40.88,11750.0,1.107,16420.0,14.27,73.9,0.113
M15_LONDON_ORB30_SKIP_NEWS_RR2,RRR,174,41.95,19475.0,1.168,16615.0,12.93,111.93,0.136
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,ORIGINAL,231,27.27,-35154.0,0.797,51815.0,49.14,-152.18,-0.174
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,R,106,33.96,-1688.0,0.981,18398.0,16.57,-15.92,0.059
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,RR,152,35.53,-54.0,1.0,20617.0,17.85,-0.36,0.053
M15_LONDON_ORB30_SKIP_NEWS_RR2p5,RRR,161,36.65,5886.0,1.051,20383.0,17.8,36.56,0.087
M15_LONDON_ORB30_SKIP_NEWS_RR3,ORIGINAL,230,24.35,-54405.0,0.695,65035.0,65.03,-236.54,-0.227
M15_LONDON_ORB30_SKIP_NEWS_RR3,R,106,29.25,-14410.0,0.843,21995.0,20.7,-135.94,-0.072
M15_LONDON_ORB30_SKIP_NEWS_RR3,RR,148,31.76,-14765.0,0.874,26895.0,24.71,-99.76,-0.052
M15_LONDON_ORB30_SKIP_NEWS_RR3,RRR,154,31.82,-12035.0,0.899,27085.0,24.88,-78.15,-0.034
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,ORIGINAL,229,24.02,-46790.0,0.737,58690.0,58.69,-204.32,-0.201
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,R,106,29.25,-7135.0,0.922,20300.0,18.8,-67.31,0.001
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,RR,146,31.51,-7311.0,0.937,24428.0,22.15,-50.08,0.006
M15_LONDON_ORB30_SKIP_NEWS_RR3p5,RRR,152,31.58,-4148.0,0.965,25568.0,23.18,-27.29,0.025
M15_LONDON_ORB30_SKIP_NEWS_RR4,ORIGINAL,229,24.02,-38310.0,0.785,50930.0,50.93,-167.29,-0.157
M15_LONDON_ORB30_SKIP_NEWS_RR4,R,106,28.3,-10500.0,0.887,22860.0,20.77,-99.06,-0.033
M15_LONDON_ORB30_SKIP_NEWS_RR4,RR,142,30.99,-7260.0,0.937,27145.0,24.19,-51.13,0.009
M15_LONDON_ORB30_SKIP_NEWS_RR4,RRR,148,31.08,-3665.0,0.969,28020.0,25.03,-24.76,0.032
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,ORIGINAL,229,24.02,-33954.0,0.809,47380.0,47.38,-148.27,-0.142
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,R,106,26.42,-15813.0,0.831,29387.0,26.22,-149.18,-0.111
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,RR,141,29.08,-14897.0,0.871,34797.0,30.34,-105.65,-0.059
M15_LONDON_ORB30_SKIP_NEWS_RR4p5,RRR,146,29.45,-10289.0,0.912,29229.0,25.7,-70.47,-0.024
M15_LONDON_ORB30_SKIP_NEWS_RR5,ORIGINAL,229,24.02,-27340.0,0.847,42440.0,42.43,-119.39,-0.112
M15_LONDON_ORB30_SKIP_NEWS_RR5,R,106,26.42,-13680.0,0.854,28610.0,25.27,-129.06,-0.091
M15_LONDON_ORB30_SKIP_NEWS_RR5,RR,141,29.08,-14970.0,0.87,33630.0,29.27,-106.17,-0.062
M15_LONDON_ORB30_SKIP_NEWS_RR5,RRR,146,29.45,-9930.0,0.915,29050.0,25.5,-68.01,-0.023
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,ORIGINAL,294,46.26,1905.0,1.01,31385.0,27.12,6.48,-0.068
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,R,156,53.85,-18380.0,0.856,35120.0,33.17,-117.82,0.072
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,RR,252,54.37,-3405.0,0.981,26220.0,23.79,-13.51,0.077
M15_LONDON_ORB60_INCLUDE_NEWS_RR1,RRR,285,54.04,-4605.0,0.977,28260.0,25.51,-16.16,0.073
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,ORIGINAL,284,36.62,-28931.0,0.873,47551.0,46.96,-101.87,-0.122
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,R,156,47.44,-3046.0,0.978,27686.0,25.04,-19.53,0.142
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,RR,233,47.64,7054.0,1.039,22893.0,20.09,30.27,0.121
M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5,RRR,254,48.43,11057.0,1.057,21543.0,18.79,43.53,0.128
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,ORIGINAL,282,33.33,-33235.0,0.857,48575.0,48.49,-117.85,-0.125
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,R,156,39.1,-19755.0,0.865,36065.0,33.16,-126.63,0.031
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,RR,211,40.28,-14000.0,0.923,29425.0,26.51,-66.35,0.055
M15_LONDON_ORB60_INCLUDE_NEWS_RR2,RRR,220,41.36,-5520.0,0.97,25255.0,22.86,-25.09,0.075
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,ORIGINAL,281,32.03,-28993.0,0.876,45470.0,45.47,-103.18,-0.123
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,R,156,34.62,-36547.0,0.764,47995.0,44.02,-234.28,-0.055
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,RR,197,37.06,-26687.0,0.852,39205.0,35.61,-135.47,0.013
M15_LONDON_ORB60_INCLUDE_NEWS_RR2p5,RRR,202,37.62,-24017.0,0.868,36535.0,33.19,-118.9,0.014
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,ORIGINAL,279,31.54,-24515.0,0.895,44560.0,44.56,-87.87,-0.094
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,R,156,33.97,-28215.0,0.819,41905.0,37.83,-180.87,-0.01
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,RR,194,35.05,-25260.0,0.862,40020.0,35.78,-130.21,0.016
