name,timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,reverse,range_start,range_end,stop_time,trades,wins,losses,win_rate,net_profit,profit_factor,expectancy,max_dd_money,max_dd_pct,avg_r,total_r,recovery_factor,max_consec_losses,long_net,short_net,avg_duration_min
M1_LONDON_ORB60_INCLUDE_NEWS_RR1p5_SL2_R_FWD,M1,LONDON,60,INCLUDE_NEWS,1.5,2.0,1,False,03:00,04:00,09:30,158,75,82,47.46835443037975,54649.99999999942,1.3017169988406074,345.88607594936343,30180.000000000233,30.180000000000234,0.031283698211264414,4.9428243173797775,1.8108018555334326,5,6514.999999999554,48134.999999999854,261.0822784810127
M15_LONDON_ORB30_INCLUDE_NEWS_RR3_SL2_RR_FWD,M15,LONDON,30,INCLUDE_NEWS,3.0,2.0,2,False,03:00,03:30,09:30,170,82,88,48.23529411764706,54619.99999999956,1.2983232290130513,321.2941176470566,20579.999999999985,18.910000000000498,0.07116549787130566,12.098134638121962,2.6540330417881246,6,8399.999999999727,46219.9999999999,254.92352941176472
M5_LONDON_ORB60_INCLUDE_NEWS_RR1_SL0p75_RR_REV,M5,LONDON,60,INCLUDE_NEWS,1.0,0.75,2,True,03:00,04:00,09:30,259,148,111,57.14285714285714,54464.00000000012,1.339183180340529,210.28571428571456,11973.00000000003,9.835699579119604,0.13318084246003448,34.49383819714893,4.548901695481499,6,28429.999999999927,26034.000000000153,74.48648648648648
M5_LONDON_ORB60_INCLUDE_NEWS_RR2_SL2_RR_FWD,M5,LONDON,60,INCLUDE_NEWS,2.0,2.0,2,False,03:00,04:00,09:30,165,83,82,50.303030303030305,54459.99999999907,1.304961361854625,330.06060606060043,22900.00000000048,22.90000000000048,0.046062500662951644,7.6003126093870215,2.378165938864538,6,3039.999999999098,51419.999999999985,250.34545454545454
M5_LONDON_ORB60_INCLUDE_NEWS_RR1_SL0p75_RRR_REV,M5,LONDON,60,INCLUDE_NEWS,1.0,0.75,3,True,03:00,04:00,09:30,311,175,136,56.27009646302251,54289.999999999854,1.2873292510598207,174.56591639871354,12243.000000000116,9.593515606097167,0.11394525850104911,35.43697539382627,4.434370660785701,6,33774.99999999982,20515.000000000102,67.28938906752411
M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5_SL2_R_FWD,M1,LONDON,30,INCLUDE_NEWS,2.5,2.0,1,False,03:00,03:30,09:30,158,71,87,44.936708860759495,54245.00000000009,1.3117707914247945,343.32278481012656,19155.000000000146,15.831435079726731,0.08448683557045168,13.348920020131366,2.831897676846759,8,-5970.000000000438,60215.00000000041,277.126582278481
M15_LONDON_ORB60_SKIP_NEWS_RR1_SL1_RRR_REV,M15,LONDON,60,SKIP_NEWS,1.0,1.0,3,True,03:00,04:00,09:30,166,99,67,59.63855421686747,54150.000000000175,1.5017140739368167,326.2048192771101,15960.000000000044,11.268798983266283,0.1754466089444355,29.124137084776294,3.3928571428571446,5,10529.999999999927,43620.00000000035,99.19277108433735
M5_LONDON_ORB60_INCLUDE_NEWS_RR2_SL2_RRR_FWD,M5,LONDON,60,INCLUDE_NEWS,2.0,2.0,3,False,03:00,04:00,09:30,166,83,83,50.0,53999.9999999991,1.301608579088466,325.3012048192716,22900.00000000048,22.90000000000048,0.044739323516425594,7.426727703726648,2.3580786026199987,6,3039.999999999098,50959.99999999997,248.86746987951807
M15_LONDON_ORB30_INCLUDE_NEWS_RR2_SL2_RRR_FWD,M15,LONDON,30,INCLUDE_NEWS,2.0,2.0,3,False,03:00,03:30,09:30,171,83,88,48.53801169590643,53929.999999999476,1.296058410188842,315.3801169590615,21750.000000000102,16.059957173447653,0.0819858598447465,14.019582033451652,2.4795402298850218,7,15799.999999999727,38129.99999999979,245.17543859649123
M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5_SL2_RRR_FWD,M1,LONDON,30,INCLUDE_NEWS,2.5,2.0,3,False,03:00,03:30,09:30,187,82,105,43.85026737967914,53830.000000000146,1.2729024081115334,287.8609625668451,22575.00000000013,15.725680052941495,0.06573158292768297,12.291806007476715,2.3844961240310005,8,-1495.0000000003947,55325.00000000041,247.66844919786095
M5_LONDON_ORB15_SKIP_NEWS_RR2_SL1_RRR_REV,M5,LONDON,15,SKIP_NEWS,2.0,1.0,3,True,03:00,03:15,09:30,206,89,117,43.203883495145625,53669.99999999956,1.4527585625105421,260.53398058252264,11659.999999999942,11.376719679968728,0.2000228269266589,41.204702346891736,4.602915951972541,11,20879.99999999961,32790.00000000005,75.60679611650485
M1_LONDON_ORB30_INCLUDE_NEWS_RR3_SL2_R_FWD,M1,LONDON,30,INCLUDE_NEWS,3.0,2.0,1,False,03:00,03:30,09:30,158,71,87,44.936708860759495,53620.00000000003,1.3081786309558021,339.36708860759484,18260.000000000175,15.831435079726731,0.0726044148491726,11.471497546169271,2.9364731653888017,8,-5430.000000000475,59050.00000000044,282.8607594936709
M15_LONDON_ORB15_SKIP_NEWS_RR2_SL0p75_RR_REV,M15,LONDON,15,SKIP_NEWS,2.0,0.75,2,True,03:00,03:15,09:30,174,86,88,49.42528735632184,53572.99999999962,1.6997061320446627,307.89080459769855,12330.000000000116,9.772838958198049,0.43251210433127196,75.25710615364132,4.3449310624492385,8,27260.999999999694,26311.999999999854,57.201149425287355
M5_LONDON_ORB15_INCLUDE_NEWS_RR2_SL0p75_RRR_REV,M5,LONDON,15,INCLUDE_NEWS,2.0,0.75,3,True,03:00,03:15,09:30,351,144,207,41.02564102564102,53560.00000000029,1.3068461758808385,152.59259259259346,17608.999999999854,15.971447488957047,0.1789408353083387,62.80823319322688,3.0416264410245177,12,21827.0,31733.000000000313,52.13390313390313
M15_LONDON_ORB30_INCLUDE_NEWS_RR3_SL2_RRR_FWD,M15,LONDON,30,INCLUDE_NEWS,3.0,2.0,3,False,03:00,03:30,09:30,171,82,89,47.953216374269005,53089.99999999956,1.287563644242225,310.4678362573076,21310.000000000116,18.910000000000498,0.06490137215276,11.098134638121959,2.491318629751256,7,8399.999999999727,44689.99999999987,253.57894736842104
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5_SL2_R_FWD,M15,LONDON,30,INCLUDE_NEWS,2.5,2.0,1,False,03:00,03:30,09:30,157,75,82,47.77070063694268,52964.999999999534,1.3055908146780493,337.35668789808665,19480.000000000466,19.480000000000466,0.08226508673006848,12.915618616620751,2.7189425051333815,7,4729.999999999749,48234.999999999854,267.515923566879
M15_LONDON_ORB15_SKIP_NEWS_RR1p5_SL1_RR_REV,M15,LONDON,15,SKIP_NEWS,1.5,1.0,2,True,03:00,03:15,09:30,171,93,78,54.385964912280706,52654.99999999913,1.5862932858256202,307.92397660818193,16840.00000000006,13.159848396045875,0.3228713291694566,55.21099728797708,3.126781472684023,7,24919.99999999971,27734.999999999396,68.23976608187135
M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5_SL2_RR_FWD,M1,LONDON,30,INCLUDE_NEWS,2.5,2.0,2,False,03:00,03:30,09:30,183,80,103,43.71584699453552,52640.00000000009,1.2709212557900156,287.65027322404404,22575.00000000019,15.476639358310914,0.060481408747485386,11.068097800789825,2.3317829457364185,8,-855.0000000004238,53495.00000000048,252.34972677595627
M5_LONDON_ORB15_SKIP_NEWS_RR2_SL0p75_RR_REV,M5,LONDON,15,SKIP_NEWS,2.0,0.75,2,True,03:00,03:15,09:30,186,81,105,43.54838709677419,52097.00000000076,1.5734712972645835,280.0913978494662,7484.999999999942,6.914713835060795,0.27894648112595316,51.88404548942729,6.960187040748318,9,23752.00000000027,28345.000000000437,54.61290322580645
M5_LONDON_ORB15_SKIP_NEWS_RR2p5_SL0p75_RRR_REV,M5,LONDON,15,SKIP_NEWS,2.5,0.75,3,True,03:00,03:15,09:30,219,85,134,38.81278538812785,51721.99999999974,1.4601110201757812,236.17351598173363,13772.999999999884,13.291450739700512,0.2872490037596904,62.9075318233722,3.7553183765338107,12,20260.99999999983,31460.999999999833,61.37442922374429
M5_LONDON_ORB60_INCLUDE_NEWS_RR2_SL2_R_FWD,M5,LONDON,60,INCLUDE_NEWS,2.0,2.0,1,False,03:00,04:00,09:30,157,78,79,49.681528662420384,51639.99999999895,1.2965600413484109,328.917197452223,23550.00000000048,23.55000000000048,0.03904822520865167,6.1305713577583125,2.192781316348106,6,2859.9999999990796,48779.99999999993,259.8980891719745
M1_LONDON_ORB60_INCLUDE_NEWS_RR3_SL2_R_FWD,M1,LONDON,60,INCLUDE_NEWS,3.0,2.0,1,False,03:00,04:00,09:30,158,74,83,46.835443037974684,51529.99999999936,1.279128974595087,326.13924050632437,34950.000000000495,34.9500000000005,0.02826952320292877,4.4665846660627455,1.4743919885550394,6,3749.999999999409,47779.999999999825,270.373417721519
M15_LONDON_ORB15_SKIP_NEWS_RR1_SL1p5_RRR_REV,M15,LONDON,15,SKIP_NEWS,1.0,1.5,3,True,03:00,03:15,09:30,190,116,74,61.05263157894737,51449.99999999991,1.425787230520957,270.7894736842088,23990.00000000016,18.637352392790675,0.21015366128105864,39.929195643401144,2.1446436015006074,6,16000.000000000136,35449.99999999955,85.37894736842105
M1_LONDON_ORB15_SKIP_NEWS_RR1_SL2_RR_REV,M1,LONDON,15,SKIP_NEWS,1.0,2.0,2,True,03:00,03:15,09:30,162,89,73,54.93827160493827,50799.99999999994,1.4171456725242244,313.58024691358054,14749.999999999942,10.255447032306554,0.09495134546909244,15.382117965992975,3.444067796610179,6,5669.999999999982,45130.00000000006,139.0679012345679
M5_LONDON_ORB15_INCLUDE_NEWS_RR1_SL1p5_RR_REV,M5,LONDON,15,INCLUDE_NEWS,1.0,1.5,2,True,03:00,03:15,09:30,259,151,108,58.301158301158296,50784.99999999945,1.2711715079026018,196.08108108107876,28815.000000000044,26.527042577675548,0.15230689091266206,39.44748474637947,1.7624501127884564,8,24119.999999999345,26665.00000000005,91.86100386100387
M1_LONDON_ORB60_INCLUDE_NEWS_RR1p5_SL2_RR_FWD,M1,LONDON,60,INCLUDE_NEWS,1.5,2.0,2,False,03:00,04:00,09:30,173,82,90,47.398843930635834,50514.999999999505,1.2617357512953333,291.99421965317606,32740.00000000029,32.74000000000029,0.026918822170965657,4.656956235577058,1.5429138668295375,6,7414.999999999463,43100.0,243.8728323699422
