timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,trades_rev,net_profit_rev,profit_factor_rev,win_rate_rev,max_dd_pct_rev,avg_r_rev,trades_fwd,net_profit_fwd,profit_factor_fwd,win_rate_fwd,max_dd_pct_fwd,avg_r_fwd,edge_over_forward
M1,LONDON,60,INCLUDE_NEWS,1.0,0.75,2,277,59227.99999999997,1.3500472813238784,55.95667870036101,9.672111586311722,0.1272398494182728,274,-51639.99999999988,0.783057113449703,44.89051094890511,65.8881677483771,-0.11018000032504198,110867.99999999985
M15,LONDON,15,SKIP_NEWS,1.5,1.0,2,171,52654.99999999913,1.5862932858256202,54.385964912280706,13.159848396045875,0.3228713291694566,167,-58204.999999999716,0.6537477691850107,29.94011976047904,59.269999999999676,-0.27916270205454663,110859.99999999884
M5,LONDON,15,SKIP_NEWS,2.0,1.0,2,173,49859.99999999968,1.483467468243962,43.93063583815029,12.64064181586938,0.23033364282233781,178,-60859.999999999985,0.6630494961798251,26.40449438202247,66.56999999999998,-0.2590377719582153,110719.99999999967
M5,LONDON,15,SKIP_NEWS,1.5,1.5,3,175,38682.999999999214,1.3017394695787754,49.142857142857146,15.355838691752083,0.1305662685313097,186,-71763.00000000007,0.6645413112071987,31.72043010752688,81.78800000000007,-0.22096391229006687,110445.99999999929
M5,LONDON,15,INCLUDE_NEWS,2.5,0.75,3,320,42026.9999999993,1.2428113354710084,36.5625,22.58186600562004,0.1984756388130294,365,-67203.99999999949,0.761969865478477,24.383561643835616,77.71099999999991,-0.2216955802020072,109230.99999999879
M15,LONDON,60,INCLUDE_NEWS,1.0,0.75,3,277,62571.99999999988,1.3938789256016255,56.678700361010826,9.13220049161062,0.14405491951811594,250,-45858.999999999534,0.8046499938232965,42.0,59.690999999999704,-0.1395301106102232,108430.99999999942
M15,LONDON,15,SKIP_NEWS,2.0,0.75,3,204,55624.99999999968,1.619563159243044,47.549019607843135,7.32932599268576,0.3836132654590278,218,-52715.99999999895,0.7158902278655701,27.06422018348624,55.41899999999892,-0.2512013828410863,108340.99999999863
M5,LONDON,15,SKIP_NEWS,1.5,0.75,3,257,39235.000000000466,1.3422363336618945,46.30350194552529,6.701856913940938,0.1406643408274382,259,-68838.99999999924,0.6459864337397756,30.888030888030887,74.62266187756316,-0.23499574292487035,108073.99999999971
M5,LONDON,15,INCLUDE_NEWS,1.0,1.5,3,314,60569.99999999933,1.2808392256867929,58.28025477707006,24.847393614685465,0.14179643089982324,277,-47270.00000000003,0.8219585687382296,41.51624548736462,63.265382597616984,-0.13166393293950573,107839.99999999936
M5,LONDON,15,SKIP_NEWS,2.5,1.0,3,192,20864.99999999971,1.166096163031361,35.41666666666667,18.280000000000406,0.056114528799052175,225,-85775.00000000051,0.6209677419354825,24.0,91.18000000000039,-0.27849040805947733,106640.00000000022
M5,LONDON,15,SKIP_NEWS,1.5,1.0,2,184,46584.99999999997,1.430187459599224,48.91304347826087,7.9329120464210074,0.19776702827470008,181,-59475.000000000415,0.6587192287829208,30.386740331491712,65.14459665144635,-0.25596995435485626,106060.00000000038
M15,LONDON,15,SKIP_NEWS,1.0,0.75,3,242,44964.00000000012,1.5654924351992772,60.33057851239669,8.928529051141272,0.2047452484786852,222,-60628.99999999921,0.6338784284834386,38.288288288288285,68.91495310424062,-0.22641130723728814,105592.99999999933
M5,LONDON,15,SKIP_NEWS,1.0,1.0,3,262,43849.999999999854,1.3501277547109558,57.63358778625955,7.97188273823784,0.14180569206402407,240,-61619.99999999999,0.6845177145197631,40.833333333333336,68.91672244000377,-0.1648572715454399,105469.99999999985
M1,LONDON,15,SKIP_NEWS,2.0,1.0,3,225,30489.99999999939,1.2223924142961293,39.111111111111114,10.967362540429484,0.061654305721991765,250,-73579.99999999996,0.665043019074066,27.6,79.46131243878544,-0.20967870626599558,104069.99999999935
M15,LONDON,15,INCLUDE_NEWS,3.0,0.75,3,258,48858.999999999534,1.3561878517481671,36.434108527131784,15.046302334681505,0.3341124774705758,306,-55206.99999999914,0.7834917721618296,25.816993464052292,67.28745100379957,-0.17871754751578062,104065.99999999868
M5,LONDON,30,SKIP_NEWS,1.5,0.75,3,235,39701.99999999927,1.3197725460505587,47.65957446808511,10.927223079662909,0.14102768312315447,233,-64254.999999998734,0.6785305109591344,31.330472103004293,73.7838662375866,-0.23742811269171243,103956.999999998
M1,LONDON,15,SKIP_NEWS,1.0,2.0,2,162,50799.99999999994,1.4171456725242244,54.93827160493827,10.255447032306554,0.09495134546909244,157,-52299.999999999345,0.6992697372204044,45.85987261146497,70.79014928211423,-0.07484401701938843,103099.99999999929
M15,LONDON,15,SKIP_NEWS,2.0,1.0,2,159,37179.999999999185,1.391286045043139,47.79874213836478,15.51962649144055,0.33654940757483337,165,-65599.99999999968,0.6205240932492639,26.666666666666668,68.67999999999971,-0.2810264676276049,102779.99999999886
M5,LONDON,15,INCLUDE_NEWS,2.0,0.75,3,351,53560.00000000029,1.3068461758808385,41.02564102564102,15.971447488957047,0.1789408353083387,372,-48556.99999999951,0.822798252688664,29.03225806451613,60.19380761049389,-0.16225679303974952,102116.9999999998
M15,LONDON,15,INCLUDE_NEWS,2.5,0.75,3,269,41825.9999999993,1.3024666806476528,39.03345724907063,15.704818261664846,0.3014163694649947,306,-59865.9999999993,0.7615118933324853,27.450980392156865,71.43457975919112,-0.1876587991774489,101691.9999999986
M1,LONDON,30,SKIP_NEWS,1.5,1.0,3,214,42319.99999999892,1.3002057175285429,51.86915887850467,12.990853177732406,0.1840472187664343,227,-59134.99999999956,0.7231248244217642,33.92070484581498,72.36606494700656,-0.15513885716035816,101454.99999999849
M15,LONDON,15,SKIP_NEWS,2.5,1.0,3,160,33224.99999999965,1.3340203076304373,43.75,14.609527953012966,0.3279155652242177,193,-67654.99999999996,0.6597173322603362,26.42487046632124,72.45499999999998,-0.22143756395203562,100879.9999999996
M1,LONDON,60,INCLUDE_NEWS,1.5,0.5,3,369,39268.00000000076,1.2000254692713288,45.799457994579946,14.100937022654241,0.1458474677678952,370,-61246.999999999534,0.7678014937255954,35.13513513513514,74.37900000000012,-0.14055726142298502,100515.00000000029
M1,LONDON,15,SKIP_NEWS,1.0,1.5,3,230,55374.99999999881,1.3783220605315203,58.26086956521739,10.835263462652046,0.1366725878578292,218,-44934.99999999941,0.7668862834613014,42.201834862385326,50.54529800057344,-0.11845498008386397,100309.99999999822
M5,LONDON,15,INCLUDE_NEWS,1.5,1.5,3,245,36133.999999998836,1.1861521817526073,49.38775510204081,34.837266546847154,0.1317599308232389,260,-62525.99999999949,0.7764093761733639,34.23076923076923,75.43749168477511,-0.168108843818577,98659.99999999833
M5,LONDON,15,INCLUDE_NEWS,3.0,0.75,3,300,41277.99999999939,1.2509407695160257,32.666666666666664,22.895102882632116,0.16843256394787048,362,-56442.99999999933,0.8017101763926817,22.65193370165746,66.32600732600697,-0.2229058945258488,97720.99999999872
M5,LONDON,15,SKIP_NEWS,2.5,0.75,2,180,49381.00000000006,1.523991935483874,40.0,10.489750323364493,0.3162025644584255,190,-46136.99999999989,0.7098867516396169,22.63157894736842,52.149999999999984,-0.2725436275663607,95517.99999999994
M5,LONDON,15,SKIP_NEWS,3.0,0.5,3,254,43624.99999999962,1.4628401676303622,30.314960629921263,6.245000000000175,0.15517049029724608,268,-51824.99999999896,0.7015634447611689,20.149253731343283,58.63842964886762,-0.304253596243595,95449.99999999857
M5,LONDON,15,SKIP_NEWS,3.0,1.0,3,182,19549.99999999965,1.1601540099942622,32.417582417582416,21.06000000000006,0.014876781255806914,223,-75710.00000000038,0.6647775071950401,23.318385650224215,84.00000000000033,-0.23953774213005496,95260.00000000003
M15,LONDON,30,SKIP_NEWS,2.0,0.75,3,178,25999.999999999825,1.2420901692768942,41.01123595505618,15.008676968845466,0.13219448742612902,197,-68839.99999999965,0.6387224082373819,28.934010152284262,77.06399999999967,-0.22196701196212165,94839.99999999948
M15,LONDON,60,INCLUDE_NEWS,1.0,0.75,2,245,49913.999999999825,1.3335115126084103,55.51020408163265,10.143366677858946,0.12663987992839085,230,-44917.999999999476,0.7968430574400738,41.30434782608695,57.01299999999967,-0.15500714699411336,94831.9999999993
M15,LONDON,15,INCLUDE_NEWS,1.0,1.0,3,326,41409.99999999878,1.2583603693536256,57.05521472392638,13.401896191547493,0.1452300604042478,289,-52609.99999999961,0.7777918567325576,41.17647058823529,64.3330733229326,-0.1676823666276328,94019.99999999838
M15,LONDON,15,SKIP_NEWS,1.0,1.5,2,165,42469.99999999974,1.3868294015848417,61.212121212121204,20.097143967359703,0.21181680669791023,152,-51414.99999999981,0.6825352721434974,36.18421052631579,51.41499999999981,-0.23998988935799637,93884.99999999955
